Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Inrichting,Aantal zitplaatsen,Eerste kleur,Aantal cilinders,Cilinderinhoud,Europese voertuigcategorie
76LJZ6,Personenauto,OPEL,ZAFIRA,20100507,MPV,7,ZWART,4,"1,796",M1
08SRSB,Personenauto,MINI,MINI COOPER,20200821,cabriolet,4,ZWART,4,"1,598",M1
3XFR00,Personenauto,TOYOTA,TOYOTA YARIS,20140915,MPV,5,ROOD,4,"1,329",M1
04PNP5,Personenauto,MITSUBISHI,MITSUBISHI ASX,20170629,stationwagen,5,ZWART,4,"1,590",M1
P113VF,Personenauto,NISSAN,NISSAN QASHQAI,20220707,MPV,5,BLAUW,4,"1,332",M1
8SHT32,Personenauto,AUDI,A4 LIMOUSINE,20201124,sedan,5,ZWART,4,"1,798",M1
96FVZP,Personenauto,TOYOTA,TOYOTA YARIS,20180526,hatchback,5,BLAUW,4,"1,299",M1
16NRG4,Personenauto,CITROEN,CITROEN C1,20140304,hatchback,4,BLAUW,3,998,M1
99HXPK,Personenauto,VOLVO,S60,20220709,sedan,5,ZWART,5,"2,435",M1
VBN70K,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,20210906,gesloten opbouw,3,N.v.t.,4,"2,143",N1
95NNTR,Personenauto,DAIHATSU,TERIOS,20210318,stationwagen,5,ZWART,4,"1,298",M1
70XKJ7,Personenauto,SUZUKI,SPLASH,20201127,stationwagen,5,GRIJS,3,996,M1
H026SN,Personenauto,ALFA ROMEO,ALFA MITO,20200501,MPV,4,ZWART,4,"1,368",M1
3KVB50,Personenauto,BMW,528I,20220221,stationwagen,5,GRIJS,4,"1,997",M1
30PRD2,Personenauto,RENAULT,MEGANE SCENIC,20150529,hatchback,5,BRUIN,4,"1,997",M1
SF470F,Personenauto,KIA,SPORTAGE,20180508,MPV,5,WIT,4,"1,591",M1
N958NN,Personenauto,TESLA,MODEL 3,20211220,sedan,5,GRIJS,,,M1
42TBL4,Personenauto,HYUNDAI,I 10,20220222,MPV,5,BLAUW,4,"1,248",M1
ZF508V,Personenauto,SEAT,MII,20220408,hatchback,4,GRIJS,3,999,M1
48NTBP,Personenauto,MAZDA,MAZDA 2,20220222,stationwagen,5,ZWART,4,"1,388",M1
XH352R,Personenauto,TOYOTA,TOYOTA YARIS,20220220,MPV,5,GRIJS,3,998,M1
4TBF09,Personenauto,SUZUKI,ALTO,20150527,hatchback,4,ZWART,3,996,M1
5VKT93,Bedrijfsauto,VOLKSWAGEN,TRANSPORTER,20220202,gesloten opbouw,3,N.v.t.,4,"1,968",N1
JF228L,Personenauto,VOLKSWAGEN,GOLF PLUS,20160308,stationwagen,5,BRUIN,4,"1,390",M1
N084LN,Personenauto,VOLKSWAGEN,TIGUAN,20220408,stationwagen,7,ZWART,4,"1,498",M1
L599NN,Personenauto,PEUGEOT,3008,20210816,MPV,5,ZWART,4,"1,598",M1
BXRB09,Bedrijfsauto,SCANIA,R 440 A 6X2/4,20220525,opleggertrekker,2,N.v.t.,6,"12,740",N3
28SXKH,Personenauto,CHEVROLET,MATIZ,20090702,hatchback,5,BLAUW,3,796,M1
RH993X,Personenauto,OPEL,CORSA-E,20180221,hatchback,5,GRIJS,4,"1,398",M1
RT35RJ,Personenauto,CITROEN,2 CV 6 CLUB S6,20200829,sedan,,ROOD,2,602,M1
K581GP,Personenauto,SUZUKI,SWIFT,20220709,hatchback,4,WIT,4,"1,242",M1
G714VN,Personenauto,TESLA,MODEL 3,20191217,sedan,5,WIT,,,M1
42ZJZ2,Personenauto,OPEL,CORSA,20210923,MPV,5,ZWART,4,"1,398",M1
19RTRG,Personenauto,VOLVO,S60,20220709,sedan,5,BLAUW,5,"2,521",M1
XL190N,Personenauto,OPEL,CORSA-E,20190920,hatchback,5,GRIJS,4,"1,398",M1
7TXX78,Personenauto,SKODA,FABIA,20180412,hatchback,5,GRIJS,3,"1,198",M1
02TZG6,Personenauto,MITSUBISHI,MITSUBISHI OUTLANDER,20200115,stationwagen,5,BLAUW,4,"1,998",M1
31LLR2,Personenauto,OPEL,ASTRA,20161130,hatchback,5,ZWART,4,"1,364",M1
THFR78,Personenauto,CHEVROLET,CHEVROLET TRANS SPORT,20220215,MPV,7,GRIJS,6,"3,350",M1
49HGP3,Personenauto,VOLKSWAGEN,PASSAT,20140215,stationwagen,5,GROEN,4,"1,390",M1
NV126B,Personenauto,SKODA,CITIGO,20171102,hatchback,4,WIT,3,999,M1
60TJK1,Personenauto,CITROEN,DS3,20190102,hatchback,5,ZWART,4,"1,560",M1
49LRZ6,Personenauto,VOLKSWAGEN,GOLF,20210306,stationwagen,5,GRIJS,4,"1,598",M1
NT334G,Personenauto,RENAULT,CAPTUR,20170418,hatchback,5,GRIJS,4,"1,197",M1
VS596R,Bedrijfsauto,FORD,TRANSIT COURIER,20210322,gesloten opbouw,2,N.v.t.,3,998,N1
18XSTL,Personenauto,PEUGEOT,PEUGEOT 107,20220709,hatchback,4,BLAUW,3,998,M1
JZ003N,Personenauto,RENAULT,TWINGO,20160715,hatchback,4,WIT,3,898,M1
38XNPF,Personenauto,VOLKSWAGEN,GOLF,20110727,stationwagen,5,GRIJS,4,"1,598",M1
55GSLT,Personenauto,VOLVO,S60,20190806,sedan,5,GRIJS,5,"2,435",M1
74JXP1,Personenauto,SEAT,IBIZA,20201026,MPV,5,GRIJS,4,"1,390",M1
3SPD82,Personenauto,VOLKSWAGEN,GOLF,20200929,stationwagen,5,BLAUW,4,"1,197",M1
54RZHV,Personenauto,FIAT,FIAT PUNTO,20220709,hatchback,5,ZWART,4,"1,368",M1
29VBV9,Bedrijfsauto,VOLKSWAGEN,TOUAREG,20210626,gesloten opbouw,5,N.v.t.,6,"2,967",N1
89BGRZ,Bedrijfsauto,LAND ROVER,DEFENDER 90 TD5 HARD TOP.HR,20100303,gesloten opbouw,,N.v.t.,5,"2,495",N1
NS642J,Personenauto,SEAT,MII,20190807,hatchback,4,ZWART,3,999,M1
41RBPR,Personenauto,OPEL,ASTRA,20170926,hatchback,5,GRIJS,4,"1,598",M1
SB201K,Personenauto,VOLKSWAGEN,UP!,20180310,hatchback,4,WIT,3,999,M1
6SVX52,Personenauto,AUDI,A3 SPORTBACK,20180118,hatchback,5,GRIJS,4,"1,598",M1
G913PB,Personenauto,TESLA,MODEL 3,20191106,sedan,5,GRIJS,,,M1
53TLL9,Personenauto,OPEL,MERIVA,20120619,MPV,5,BLAUW,4,"1,364",M1
49ZKLB,Personenauto,NISSAN,J10,20220222,stationwagen,5,GRIJS,4,"1,997",M1
V628KB,Bedrijfsauto,RENAULT,KANGOO,20210322,gesloten opbouw,2,N.v.t.,4,"1,461",N1
9KJN11,Personenauto,RENAULT,TWINGO,20180616,hatchback,4,WIT,4,"1,149",M1
V210HS,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,20170815,gesloten opbouw,3,N.v.t.,4,"2,143",N1
16JHPJ,Personenauto,VOLKSWAGEN,BORA,20220222,sedan,5,BLAUW,4,"1,781",M1
ZK238R,Personenauto,TESLA,MODEL 3,20190621,sedan,5,ZWART,,,M1
JJ845N,Personenauto,OPEL,ASTRA+,20200912,hatchback,5,BRUIN,3,999,M1
08PPHX,Personenauto,OPEL,CORSA-C,20200326,hatchback,5,ZWART,4,"1,199",M1
16BXFZ,Bedrijfsauto,MERCEDES-BENZ,639 VITO 109 CDI,20191220,gesloten opbouw,3,N.v.t.,4,"2,148",N1
VZ009P,Bedrijfsauto,FORD,TRANSIT CUSTOM,20191101,gesloten opbouw,3,N.v.t.,4,"1,995",N1
27HTB2,Personenauto,MAZDA,MAZDA 6,20170216,stationwagen,5,ZWART,4,"2,184",M1
V154LT,Bedrijfsauto,VOLKSWAGEN,CADDY,20180326,gesloten opbouw,2,N.v.t.,4,"1,395",N1
J841PJ,Personenauto,MERCEDES-BENZ,AMG A 45,20220525,stationwagen,5,GRIJS,4,"1,991",M1
MTZJ73,Motorfiets,YAMAHA,XVS950A,20220709,Niet geregistreerd,2,N.v.t.,2,942,L3
60XFKD,Personenauto,TOYOTA,TOYOTA AYGO,20190410,hatchback,4,GRIJS,3,998,M1
MBDT70,Motorfiets,KAWASAKI,KLX 250 D,20220221,Niet geregistreerd,,N.v.t.,1,249,L3
HF277D,Personenauto,CITROEN,C4 CACTUS,20200306,hatchback,5,GRIJS,3,"1,199",M1
23ZNZZ,Personenauto,TOYOTA,TOYOTA YARIS,20080421,MPV,5,GRIJS,4,"1,298",M1
26RSPB,Personenauto,MERCEDES-BENZ,C 180 KOMPRESSOR,20170707,sedan,5,GRIJS,4,"1,796",M1
13MRRX,Motorfiets,KAWASAKI,Z900,20220709,Niet geregistreerd,2,N.v.t.,4,948,L3
TPT37X,Land- of bosbouwtrekker,EICHER,ONBEKEND,20220222,Niet geregistreerd,,N.v.t.,,,T
RT281V,Personenauto,NISSAN,NISSAN QASHQAI,20220408,MPV,5,BRUIN,4,"1,197",M1
SH589G,Personenauto,OPEL,KARL ROCKS / VIVA ROCKS,20210910,hatchback,5,BLAUW,3,999,M1
36FJVP,Personenauto,TOYOTA,TOYOTA COROLLA,20200515,hatchback,5,ZWART,4,"1,398",M1
33TND2,Personenauto,DACIA,DUSTER,20120308,stationwagen,5,GRIJS,4,"1,598",M1
3ZFD87,Personenauto,VOLKSWAGEN,UP,20180116,hatchback,4,WIT,3,999,M1
F700GB,Bromfiets,PEUGEOT,VCLIC,20220222,N.v.t.,2,N.v.t.,1,49,L1
44HPDN,Personenauto,BMW,Z REIHE,20110910,cabriolet,2,BLAUW,6,"1,991",M1
VN953S,Bedrijfsauto,FORD,TRANSIT COURIER,20160513,gesloten opbouw,2,N.v.t.,4,"1,499",N1
XN419K,Personenauto,VOLKSWAGEN,TIGUAN,20190228,stationwagen,5,GRIJS,4,"1,498",M1
RGVN87,Personenauto,OPEL,CORSA X1.2SZ,20130206,hatchback,,BLAUW,4,"1,195",M1
RP591S,Personenauto,MAZDA,MAZDA2,20181110,hatchback,5,ZWART,4,"1,496",M1
61LJLH,Personenauto,VOLKSWAGEN,BORA,20130814,sedan,5,GRIJS,4,"1,598",M1
V427DH,Bedrijfsauto,VOLKSWAGEN,CADDY,20170317,gesloten opbouw,2,N.v.t.,4,"1,598",N1
11TNDZ,Personenauto,BMW,1ER REIHE,20180108,hatchback,5,ZWART,4,"1,995",M1
XD874F,Personenauto,TESLA,MODEL S,20190319,hatchback,5,ZWART,,,M1
V210FB,Bedrijfsauto,FIAT,FIAT DUCATO,20170308,gesloten opbouw,6,N.v.t.,4,"2,287",N1
TBG41T,Land- of bosbouwtrekker,NEW HOLLAND,T6.180,20210205,Niet geregistreerd,,N.v.t.,,,T
P340PG,Personenauto,TOYOTA,TOYOTA YARIS CROSS,20220520,hatchback,5,GEEL,3,"1,490",M1
ZK851G,Personenauto,TESLA,MODEL 3,20190622,sedan,5,ZWART,,,M1
14SNLX,Personenauto,FORD,FOCUS,20220221,stationwagen,5,GRIJS,4,"1,596",M1
02PPPP,Personenauto,AUDI,AUDI A4,20180303,stationwagen,5,GRIJS,6,"2,393",M1
02LBG4,Personenauto,PEUGEOT,207,20220409,hatchback,5,GRIJS,4,"1,397",M1
P174TF,Personenauto,TOYOTA,TOYOTA COROLLA,20220617,hatchback,5,GROEN,4,"1,798",M1
LRD19K,Land- of bosb aanhw of getr uitr stuk,ZELFBOUW,ONBEKEND,20220525,Niet geregistreerd,,N.v.t.,,,R
06JST2,Personenauto,AUDI,AUDI Q5,20220221,stationwagen,5,GRIJS,4,"1,984",M1
HX720F,Personenauto,FIAT,PANDA,20160620,MPV,4,BLAUW,4,"1,242",M1
76ZJX4,Personenauto,VOLKSWAGEN,UP,20171024,hatchback,4,WIT,3,999,M1
71XTLP,Personenauto,RENAULT,MEGANE SCENIC,20180316,MPV,5,BLAUW,4,"1,598",M1
TS322G,Personenauto,VOLKSWAGEN,UP!,20181005,hatchback,4,GRIJS,3,999,M1
RX258L,Personenauto,NISSAN,NISSAN QASHQAI,20180222,MPV,5,ZWART,4,"1,197",M1
98VFH9,Bedrijfsauto,OPEL,VIVARO-2 2.0CDTI/84KW-E4 2.9T L2H1,20170119,gesloten opbouw,3,N.v.t.,4,"1,995",N1
D191PS,Bromfiets,VOM,BELLA EXCLUSIVE,20140610,N.v.t.,2,N.v.t.,1,50,L1
KG295V,Personenauto,SKODA,CITIGO,20200415,hatchback,4,ZWART,3,999,M1
48NVZL,Personenauto,VOLKSWAGEN,GOLF,20130227,hatchback,5,BLAUW,4,"1,598",M1
VP240G,Bedrijfsauto,VOLKSWAGEN,CRAFTER,20150528,gesloten opbouw,3,N.v.t.,4,"1,968",N1
TTT44J,Land- of bosbouwtrekker,VALTRA,6750,20211202,Niet geregistreerd,,N.v.t.,,,T
73ZVX9,Personenauto,TOYOTA,TOYOTA AURIS,20210603,MPV,5,WIT,4,"1,798",M1
P698RK,Personenauto,MERCEDES-BENZ,VITO TOURER,20220603,MPV,8,WIT,4,"1,950",M1
PJ737N,Personenauto,PEUGEOT,3008,20220617,MPV,5,GRIJS,4,"1,598",M1
KJ296R,Personenauto,TOYOTA,TOYOTA AYGO,20220222,hatchback,4,ZWART,3,998,M1
GS283V,Personenauto,TOYOTA,TOYOTA AYGO,20200624,hatchback,4,ROOD,3,998,M1
G931KB,Personenauto,KIA,PROCEED,20200227,hatchback,5,GRIJS,4,"1,353",M1
99TDFK,Personenauto,FIAT,FIAT PUNTO,20220709,MPV,4,ZWART,4,"1,242",M1
65PPBN,Personenauto,OPEL,CORSA-C,20170120,hatchback,5,ZWART,4,"1,199",M1
51SLNP,Personenauto,OPEL,VECTRA,20160530,hatchback,5,GRIJS,4,"2,198",M1
10NLJX,Personenauto,SUZUKI,ALTO,20220405,hatchback,4,GRIJS,4,"1,061",M1
T40DGG,Land- of bosbouwtrekker,ALLGAIER,A122,20220221,Niet geregistreerd,,N.v.t.,,,T
31KNR3,Personenauto,KIA,SOUL,20120515,MPV,5,GRIJS,4,"1,591",M1
92LZN9,Personenauto,OPEL,MERIVA,20210403,MPV,5,ZWART,4,"1,364",M1
00TGH5,Personenauto,PEUGEOT,PEUGEOT 107,20180209,hatchback,4,ZWART,3,998,M1
91ZVZ2,Personenauto,OPEL,ZAFIRA TOURER,20200430,MPV,7,ZWART,4,"1,362",M1
PH799R,Personenauto,MAZDA,MAZDA2,20200710,hatchback,5,ZWART,4,"1,496",M1
70XZHK,Personenauto,TOYOTA,TOYOTA AYGO,20200721,hatchback,4,ROOD,3,998,M1
DXJ57N,Bromfiets,AGM,VX 50,20220221,N.v.t.,2,N.v.t.,1,50,L1
95XLV6,Personenauto,HYUNDAI,I20,20220222,MPV,5,WIT,4,"1,248",M1
KL202K,Personenauto,DACIA,LOGAN,20220221,stationwagen,5,ZWART,3,898,M1
ZG282L,Personenauto,PEUGEOT,208,20190605,hatchback,5,GRIJS,3,"1,199",M1
60ZSBV,Personenauto,PEUGEOT,308,20180328,hatchback,5,ZWART,4,"1,598",M1
69SBJ7,Personenauto,TOYOTA,TOYOTA VERSO-S,20220221,hatchback,5,GRIJS,4,"1,329",M1
94PZJD,Personenauto,KIA,KIA CARNIVAL,20160606,stationwagen,7,GRIJS,6,"2,497",M1
1VRX11,Bedrijfsauto,MERCEDES-BENZ,VITO,20220406,gesloten opbouw,6,N.v.t.,4,"2,143",N1
JG927X,Personenauto,MAZDA,MAZDA CX-3,20170718,stationwagen,5,ZWART,4,"1,998",M1
04RFXT,Personenauto,HYUNDAI,ATOS-PRIME,20050309,hatchback,4,BLAUW,4,"1,086",M1
76SPX1,Personenauto,RENAULT,TWINGO,20210820,hatchback,4,WIT,4,"1,149",M1
73TKT8,Personenauto,PORSCHE,CAYENNE DIESEL,20120228,stationwagen,5,GRIJS,6,"2,967",M1
48NTBV,Personenauto,OPEL,CORSA-C,20210220,hatchback,5,GRIJS,4,"1,199",M1
62ZNK8,Personenauto,NISSAN,NISSAN QASHQAI,20171109,stationwagen,5,WIT,4,"1,997",M1
TJS05H,Land- of bosbouwtrekker,KIOTI,DK551,20210817,Niet geregistreerd,,N.v.t.,,,T
35ZVD9,Personenauto,CITROEN,C3,20191001,hatchback,5,GRIJS,3,"1,199",M1
NT986L,Personenauto,MERCEDES-BENZ,A 180 D,20170421,stationwagen,5,GRIJS,4,"1,461",M1
OL01BR,Oplegger,VELDHUIZEN,HS-GVO,20220525,gesloten opbouw,,N.v.t.,,,O2
TXG93J,Land- of bosbouwtrekker,FENDT,FARMER 308/90,20211215,Niet geregistreerd,,N.v.t.,,,T
14BKDR,Bedrijfsauto,TOYOTA,RAV4 2.0 D4-D 4WD VAN LINEA LUNA,20220222,gesloten opbouw,,N.v.t.,4,"1,995",N1
06TXBP,Personenauto,FORD,FOCUS C-MAX,20141104,MPV,5,GRIJS,4,"1,798",M1
J111FH,Personenauto,SKODA,OCTAVIA,20220411,stationwagen,5,ZWART,4,"1,498",M1
98ZFZJ,Personenauto,MERCEDES-BENZ,E 280 CDI,20210605,sedan,5,ZWART,6,"2,987",M1
85NFK1,Personenauto,MITSUBISHI,MITSUBISHI COLT,20140807,stationwagen,5,GRIJS,4,"1,332",M1
JF145F,Personenauto,OPEL,CORSA-E,20210226,hatchback,5,BLAUW,3,999,M1
JT560Z,Personenauto,PEUGEOT,2008,20191104,stationwagen,5,ZWART,3,"1,199",M1
15NVB1,Personenauto,OPEL,CORSA,20181211,MPV,5,BLAUW,4,"1,229",M1
76RPNS,Personenauto,SMART,FORTWO CABRIO,20110209,cabriolet,2,GRIJS,3,698,M1
ZD557B,Personenauto,BMW,420I,20200711,cabriolet,4,ZWART,4,"1,998",M1
XX863P,Personenauto,SKODA,OCTAVIA,20190805,stationwagen,5,WIT,4,"1,498",M1
G357VV,Personenauto,TESLA,MODEL X,20191217,MPV,5,WIT,,,M1
ZJ864H,Personenauto,VOLVO,XC60,20190611,stationwagen,5,GRIJS,4,"1,969",M1
KF943S,Personenauto,PEUGEOT,207,20220525,stationwagen,5,GRIJS,4,"1,598",M1
14HVK9,Personenauto,BMW,3ER REIHE,20200306,stationwagen,5,GRIJS,4,"1,995",M1
DFG07T,Bromfiets,PIAGGIO,N/A,20151009,N.v.t.,2,N.v.t.,1,50,L1
VT606P,Bedrijfsauto,RENAULT,TRAFIC,20160307,gesloten opbouw,3,N.v.t.,4,"1,598",N1
PX665D,Personenauto,SKODA,OCTAVIA,20171018,stationwagen,5,GRIJS,4,"1,598",M1
FJB61S,Bromfiets,PIAGGIO,VESPA SPRINT 50,20220221,N.v.t.,2,N.v.t.,1,49,L1
87TBH3,Personenauto,SEAT,ALTEA XL,20160308,MPV,5,GRIJS,4,"1,197",M1
L804DS,Personenauto,MERCEDES-BENZ,ML 320 CDI,20210429,stationwagen,5,GRIJS,6,"2,987",M1
VZ942P,Bedrijfsauto,RENAULT,TRAFIC,20220407,gesloten opbouw,3,N.v.t.,4,"1,598",N1
SH409L,Personenauto,VOLKSWAGEN,T-ROC,20180409,stationwagen,5,BLAUW,3,999,M1
23LDJ5,Personenauto,AUDI,AUDI Q5,20180324,stationwagen,5,GRIJS,4,"1,984",M1
71JXDD,Personenauto,TOYOTA,YARIS,20150110,hatchback,5,ROOD,4,"1,298",M1
XP507F,Personenauto,CITROEN,CITROEN C1,20210707,hatchback,4,WIT,3,998,M1
39RRS2,Personenauto,CITROEN,C3,20170225,hatchback,5,ZWART,4,"1,560",M1
1120JF,Personenauto,VOLKSWAGEN,231011 KAMPEERWAGEN,19980320,kampeerwagen,,WIT,4,,M1
25XHT5,Personenauto,FORD,FIESTA,20171230,hatchback,5,WIT,4,"1,242",M1
57SBGP,Personenauto,FIAT,FIAT PANDA,20051111,hatchback,4,GROEN,4,"1,108",M1
91PPFF,Personenauto,KIA,PICANTO,20081025,MPV,5,ORANJE,4,999,M1
9TKB09,Personenauto,FIAT,FIAT 500,20220220,hatchback,4,WIT,2,875,M1
27VNGP,Bedrijfsauto,VOLKSWAGEN,"BESTEL 1,0 TDI 75 KW DC",20120125,gesloten opbouw,,N.v.t.,5,"2,461",N1
15VNX2,Bedrijfsauto,HYUNDAI,H-1 H300 2.5 CRDI VGT,20080731,gesloten opbouw,3,N.v.t.,4,"2,497",N1
25ZVJ3,Personenauto,SEAT,MII,20181110,hatchback,4,GRIJS,3,999,M1
VS186B,Bedrijfsauto,FORD,TRANSIT CUSTOM,20170811,gesloten opbouw,3,N.v.t.,4,"2,198",N1
08JFX5,Personenauto,MILLS,MEV 4X4,20190608,stationwagen,2,GRIJS,8,"3,528",M1
16NPX1,Personenauto,FIAT,FIAT 500,20220408,hatchback,4,BLAUW,4,"1,242",M1
34HZZP,Personenauto,FIAT,FIAT SEICENTO,20170225,hatchback,5,WIT,4,"1,108",M1
JJ315N,Personenauto,SKODA,FABIA,20220709,hatchback,5,WIT,4,"1,197",M1
XXGV62,Personenauto,SUZUKI,VITARA,19991130,stationwagen,4,ROOD,4,"1,590",M1
68RJPP,Personenauto,KIA,KIA CARENS,20220217,stationwagen,5,ZWART,4,"1,991",M1
87VFD8,Bedrijfsauto,FORD,TRANSIT 280M FD VAN 110 MR 4.23,20210720,gesloten opbouw,3,N.v.t.,4,"2,198",N1
T36DGT,Land- of bosbouwtrekker,MASSEY FERGUSON,135,20220222,Niet geregistreerd,,N.v.t.,,,T
H069RJ,Personenauto,VOLKSWAGEN,T-CROSS,20220709,stationwagen,5,ZWART,4,"1,498",M1
F996LZ,Bromfiets,SYM,AZ05W,20220706,N.v.t.,2,N.v.t.,1,50,L1
7TFF47,Personenauto,HYUNDAI,I 10,20140412,MPV,5,BEIGE,3,998,M1
RX181S,Personenauto,MINI,COOPER,20180309,hatchback,4,ZWART,3,"1,499",M1
VT304T,Bedrijfsauto,VOLKSWAGEN,TRANSPORTER,20160308,gesloten opbouw,3,N.v.t.,4,"1,968",N1
SRLV40,Personenauto,TOYOTA,TOYOTA COROLLA,20190715,hatchback,,BLAUW,4,,M1
6TLP56,Personenauto,VOLKSWAGEN,GOLF,20200215,stationwagen,5,BLAUW,4,"1,197",M1
HP082D,Personenauto,VOLVO,V40,20200226,MPV,5,ZWART,4,"1,969",M1
69TBJS,Personenauto,VOLKSWAGEN,POLO,20190328,hatchback,5,BLAUW,4,"1,390",M1
84NTHJ,Personenauto,OPEL,ZAFIRA-A,20180328,stationwagen,7,BLAUW,4,"2,198",M1
82NXV3,Personenauto,VOLKSWAGEN,GOLF,20170417,hatchback,5,GRIJS,6,"3,189",M1
52HZJ8,Personenauto,TOYOTA,TOYOTA YARIS,20140823,MPV,5,GRIJS,4,"1,329",M1
52TGJZ,Personenauto,MERCEDES-BENZ,906 AC 35,20200417,MPV,9,WIT,4,"2,148",M1
79RJH2,Personenauto,PEUGEOT,PEUGEOT 107,20190205,hatchback,4,ROOD,3,998,M1
JV887V,Personenauto,OPEL,MOKKA,20220707,MPV,5,ZWART,4,"1,364",M1
1TPS90,Personenauto,TOYOTA,TOYOTA YARIS HYBRID,20210820,MPV,5,ZWART,4,"1,497",M1
J518LT,Personenauto,TESLA,MODEL 3,20200929,sedan,5,GRIJS,,,M1
4SPL38,Personenauto,VOLKSWAGEN,POLO,20220221,hatchback,5,ZWART,4,"1,598",M1
8VHN22,Bedrijfsauto,ISUZU,TFS 85 D-MAX 4X4,20100706,open wagen,2,N.v.t.,4,"2,999",N1
69RPKZ,Personenauto,VOLVO,V50,20050630,stationwagen,5,GROEN,5,"2,435",M1
83SZG8,Personenauto,FORD,FOCUS,20150529,stationwagen,5,BRUIN,4,"1,596",M1
LV90TH,Personenauto,CITROEN,CX 25 PRESTIGE,19920423,sedan,,GRIJS,4,"2,500",M1
V006PD,Bedrijfsauto,MERCEDES-BENZ,VITO,20200210,gesloten opbouw,3,N.v.t.,4,"2,143",N1
ST488G,Personenauto,VOLKSWAGEN,GOLF,20190314,cabriolet,4,ZWART,4,"1,390",M1
04BGX5,Bedrijfsauto,SCANIA,R410,20160309,opleggertrekker,2,N.v.t.,6,"12,742",N3
SP870J,Personenauto,SEAT,IBIZA,20210615,hatchback,5,GRIJS,4,"1,598",M1
8KFN12,Personenauto,SEAT,TOLEDO,20130715,sedan,5,BEIGE,4,"1,197",M1
XV237Z,Personenauto,TOYOTA,TOYOTA AYGO,20190517,hatchback,4,GRIJS,3,998,M1
61SJXS,Personenauto,OPEL,ZAFIRA,20120522,MPV,7,GRIJS,4,"1,796",M1
9ZVF89,Personenauto,AUDI,A3,20220216,stationwagen,5,ZWART,4,"1,197",M1
TSBB23,Personenauto,NISSAN,NISSAN MICRA,20200903,hatchback,5,ROOD,4,"1,275",M1
3SXB63,Personenauto,CITROEN,CITROEN C1,20140228,hatchback,4,ZWART,3,998,M1
RV169J,Personenauto,HYUNDAI,I10,20210430,hatchback,4,ZWART,3,998,M1
JF257G,Personenauto,FORD,FIESTA,20180406,hatchback,5,BLAUW,3,998,M1
DTJ42L,Bromfiets,GTS,VICI 50,20220708,N.v.t.,2,N.v.t.,1,50,L1
97LRF5,Personenauto,SUZUKI,ALTO,20211115,hatchback,4,GRIJS,3,996,M1
94SLTR,Personenauto,BMW,1ER REIHE,20171130,hatchback,5,GRIJS,4,"1,596",M1
SN635V,Personenauto,VOLKSWAGEN,GOLF SPORTSVAN,20180908,stationwagen,5,ZWART,4,"1,395",M1
3ZPJ27,Personenauto,AUDI,A3 LIMOUSINE,20180310,sedan,5,ZWART,4,"1,395",M1
11XDL5,Personenauto,AUDI,AUDI A4,20220607,stationwagen,5,ZWART,4,"1,968",M1
2SHJ59,Personenauto,FORD,FIESTA,20131111,hatchback,5,ROOD,3,998,M1
PBST10,Personenauto,JEEP,CHEROKEE 4.0I LE 5 DRS.  AUT.,20220709,stationwagen,,BEIGE,6,"3,960",M1
66GXRB,Personenauto,TOYOTA,TOYOTA CAMRY,20140108,sedan,5,GROEN,4,"2,164",M1
P162ZS,Personenauto,VW,PASSAT,20220709,stationwagen,5,GRIJS,4,"1,498",M1
33STBP,Personenauto,KIA,SPORTAGE,20180113,MPV,5,ZWART,4,"1,975",M1
5SVG01,Personenauto,PEUGEOT,PEUGEOT 107,20131212,hatchback,4,WIT,3,998,M1
76BSLZ,Bedrijfsauto,MERCEDES-BENZ,902.6,20210112,gesloten opbouw,6,N.v.t.,4,"2,148",N1
XG483R,Personenauto,RENAULT,MEGANE,20190329,stationwagen,5,WIT,4,"1,461",M1
V589BF,Bedrijfsauto,FORD,TRANSIT CONNECT,20201125,gesloten opbouw,3,N.v.t.,4,"1,499",N1
JG048B,Personenauto,RENAULT,CAPTUR,20160307,hatchback,5,ROOD,3,898,M1
39ZVP3,Personenauto,MERCEDES-BENZ,A 180,20170722,stationwagen,5,GRIJS,4,"1,595",M1
DBZ61J,Bromfiets,LINGBEN,LB50QT-40.25,20170530,N.v.t.,2,N.v.t.,1,49,L1
99RHK8,Personenauto,VOLKSWAGEN,POLO,20150203,hatchback,5,ZWART,3,"1,199",M1
42JJS7,Personenauto,FIAT,FIAT 500,20200224,hatchback,4,WIT,4,"1,368",M1
10BBDP,Bedrijfsauto,VOLKSWAGEN,CADDY SDI 47 KW,20220507,gesloten opbouw,,N.v.t.,4,"1,896",N1
18XPNG,Personenauto,SUZUKI,SWIFT,20170422,hatchback,5,ROOD,4,"1,490",M1
46TLF5,Personenauto,NISSAN,NISSAN QASHQAI,20130206,MPV,5,ROOD,4,"1,598",M1
N208LV,Personenauto,FORD,KUGA,20220708,MPV,5,GRIJS,4,"1,498",M1
LPP31H,Land- of bosb aanhw of getr uitr stuk,ZELFBOUW,ONBEKEND,20220407,Niet geregistreerd,,N.v.t.,,,R
13SZPD,Personenauto,DAIHATSU,TERIOS,20200217,stationwagen,5,GRIJS,4,"1,495",M1
2TST65,Personenauto,FIAT,PANDA,20220222,MPV,5,ZWART,2,875,M1
